age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,age_group,Years_as_customer,vehicle_age,adjusted_csl,adjusted_deductible,adjusted_annual_premium,adjusted_additional_services,loss_amount,weekday,month,policy_bind_year
47.0,994538,1991-11-01,IL,100/300,2000.0,1083.01,0,448882,Male,MD,Craft-Repair,Paintball,Other-Relative,91900.0,0,2015-01-31,Multi-vehicle Collision,Front Collision,Major Damage,Police,WV,Arlington,9239 Washington Ridge,22,4,Yes,2,0,Unknown,71760.0,11040.0,11040.0,49680.0,Jeep,Grand Cherokee,2010,Y,Adult,27,14,500/1000,1500,1083.01,[],70676.99,Saturday,January,1991
26.0,727792,2014-05-19,OH,100/300,500.0,974.59,0,466838,Female,JD,Armed-Forces,Skydiving,Wife,62800.0,0,2015-01-18,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,NY,Arlington,3416 Washington Drive,14,3,Unknown,1,0,No,59700.0,11940.0,11940.0,35820.0,Nissan,Ultima,2002,N,Young Adult,8,22,250/500,1000,1169.508,['roadside assistance'],58725.41,Sunday,January,2014
39.0,522506,1992-03-15,IL,500/1000,2000.0,1399.85,0,605490,Female,Masters,Other-Service,Skydiving,Other-Relative,49900.0,-19800,2015-01-10,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Columbus,1923 2nd Hwy,16,3,No,0,2,Unknown,64920.0,10820.0,10820.0,43280.0,Ford,Fusion,1997,N,Adult,18,27,500/1000,1500,1399.85,[],63520.15,Saturday,January,1992
43.0,367595,2006-02-03,IN,500/1000,500.0,1307.74,0,466137,Female,Associate,Machine-Op-Inspct,Board-Games,Own-Child,0.0,-75700,2015-01-28,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Riverwood,6451 1st Hwy,10,3,Unknown,0,1,No,37530.0,4170.0,4170.0,29190.0,Jeep,Wrangler,2008,N,Adult,20,16,500/1000,1500,1307.74,[],36222.26,Wednesday,January,2006
42.0,586104,2003-03-16,IN,250/500,2000.0,1219.27,0,466970,Male,Associate,Tech-Support,Paintball,Husband,53100.0,-63400,2015-02-16,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,WV,Columbus,1267 Francis Hwy,9,3,Yes,1,2,No,64080.0,7120.0,7120.0,49840.0,Saab,93,2012,N,Adult,24,12,500/1000,1500,1219.27,[],62860.73,Monday,February,2003
41.0,424862,2002-10-16,OH,100/300,500.0,1411.3,0,474801,Male,PhD,Prof-Specialty,Cross-Fit,Unmarried,55600.0,0,2015-02-08,Single Vehicle Collision,Rear Collision,Minor Damage,Other,PA,Northbrook,4158 Washington Lane,4,1,No,1,0,Unknown,60390.0,10980.0,5490.0,43920.0,BMW,M5,2004,Y,Adult,22,20,500/1000,1500,1411.3,[],58978.7,Sunday,February,2002
33.0,512813,1990-01-27,IL,100/300,2000.0,694.45,0,450703,Female,JD,Armed-Forces,Exercise,Not-In-Family,0.0,0,2015-01-20,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Northbend,3796 Cherokee Drive,6,3,Unknown,0,1,Yes,64350.0,5850.0,11700.0,46800.0,Nissan,Pathfinder,2011,Y,Adult,9,13,500/1000,1500,694.45,[],63655.55,Tuesday,January,1990
38.0,356768,2010-03-11,IL,100/300,500.0,1006.77,6000000,478172,Female,College,Other-Service,Sleeping,Own-Child,0.0,0,2015-02-06,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,7434 Oak Hwy,15,3,Yes,2,1,Yes,70900.0,14180.0,7090.0,49630.0,BMW,X6,1997,N,Adult,2,27,500/1000,1500,1006.77,[],69893.23,Friday,February,2010
39.0,330506,1995-09-19,OH,250/500,1000.0,1422.36,0,604668,Female,JD,Craft-Repair,Movies,Unmarried,0.0,-83900,2015-01-24,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,PA,Columbus,5178 Weaver Hwy,12,3,No,1,3,Unknown,46560.0,7760.0,7760.0,31040.0,Nissan,Ultima,2012,N,Adult,21,12,500/1000,1500,1422.36,[],45137.64,Saturday,January,1995
33.0,779075,2010-02-27,IN,100/300,1000.0,1348.32,0,469429,Female,Associate,Craft-Repair,Cross-Fit,Wife,37600.0,-37600,2015-01-14,Vehicle Theft,Unknown,Trivial Damage,Police,NY,Arlington,8477 Francis Hwy,3,1,No,2,1,Unknown,4730.0,860.0,860.0,3010.0,Chevrolet,Malibu,2013,Y,Adult,15,11,500/1000,1500,1348.32,[],3381.6800000000003,Wednesday,January,2010
40.0,799501,1991-12-28,OH,250/500,2000.0,1315.56,0,471806,Female,PhD,Transport-Moving,Video-Games,Not-In-Family,0.0,0,2015-02-18,Vehicle Theft,Unknown,Minor Damage,Police,SC,Northbrook,7693 Britain Lane,14,1,Yes,0,0,Yes,6820.0,1240.0,1240.0,4340.0,Jeep,Grand Cherokee,2003,N,Adult,16,21,500/1000,1500,1315.56,[],5504.4400000000005,Wednesday,February,1991
58.0,987905,2002-04-30,OH,250/500,2000.0,1407.01,5000000,475705,Male,PhD,Tech-Support,Sleeping,Other-Relative,47400.0,-27600,2015-01-10,Single Vehicle Collision,Rear Collision,Major Damage,Police,WV,Riverwood,3658 Rock Drive,10,1,Unknown,0,2,Unknown,59900.0,11980.0,5990.0,41930.0,BMW,X5,1997,Y,Senior,36,27,750/1500,2000,1125.608,['rental car coverage'],58492.99,Saturday,January,2002
36.0,967756,2007-04-28,OH,250/500,2000.0,1388.58,0,459122,Female,MD,Priv-House-Serv,Basketball,Own-Child,0.0,-49400,2015-02-13,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,2617 Andromedia Drive,17,3,Unknown,1,3,Yes,79560.0,13260.0,13260.0,53040.0,Ford,Escape,2009,N,Adult,15,15,500/1000,1500,1388.58,[],78171.42,Friday,February,2007
33.0,830414,1996-07-08,IL,500/1000,500.0,1310.76,0,476737,Female,High School,Adm-Clerical,Kayaking,Not-In-Family,0.0,-40900,2015-02-17,Single Vehicle Collision,Front Collision,Total Loss,Other,VA,Northbrook,9279 Oak Hwy,8,1,Yes,0,1,Unknown,70290.0,12780.0,6390.0,51120.0,Accura,MDX,2008,N,Adult,8,16,500/1000,1500,1310.76,[],68979.24,Tuesday,February,1996
31.0,127313,2002-04-01,IN,100/300,1000.0,1004.63,6000000,460359,Male,JD,Priv-House-Serv,Hiking,Not-In-Family,26900.0,0,2015-01-07,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Hillsdale,3439 Andromedia Hwy,14,3,Yes,2,0,No,63910.0,5810.0,11620.0,46480.0,Suburu,Forrestor,1999,N,Adult,13,25,500/1000,1500,1004.63,[],62905.37,Wednesday,January,2002
40.0,786957,2006-10-29,OH,100/300,500.0,1134.91,0,452735,Female,Associate,Transport-Moving,Golf,Not-In-Family,68700.0,0,2015-01-29,Vehicle Theft,Unknown,Trivial Damage,None,SC,Riverwood,5901 Elm Drive,6,1,Unknown,1,0,No,6400.0,640.0,640.0,5120.0,Toyota,Camry,1997,N,Adult,18,27,500/1000,1500,1134.91,[],5265.09,Thursday,January,2006
25.0,332892,2007-10-25,IN,250/500,1000.0,1194.0,0,613583,Female,JD,Handlers-Cleaners,Movies,Husband,0.0,0,2015-02-13,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Northbrook,3982 Washington Hwy,6,1,Yes,1,2,Yes,66780.0,7420.0,7420.0,51940.0,Ford,Escape,2013,Y,Young Adult,7,11,250/500,1000,1432.8,['roadside assistance'],65586.0,Friday,February,2007
39.0,448642,2001-03-28,IN,500/1000,1000.0,1248.25,4000000,605692,Female,College,Sales,Hiking,Own-Child,0.0,-33300,2015-02-01,Parked Car,Unknown,Minor Damage,Police,VA,Northbrook,3376 5th Drive,8,1,No,0,2,Unknown,8760.0,1460.0,1460.0,5840.0,BMW,3 Series,2013,N,Adult,3,11,500/1000,1500,1248.25,[],7511.75,Sunday,February,2001
42.0,526039,1995-05-04,OH,100/300,500.0,1338.54,-1000000,438178,Male,Associate,Machine-Op-Inspct,Kayaking,Wife,0.0,0,2015-01-29,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,NC,Arlington,3936 Tree Drive,13,1,Yes,0,1,Unknown,94160.0,8560.0,17120.0,68480.0,Chevrolet,Malibu,1996,N,Adult,23,28,500/1000,1500,1338.54,[],92821.46,Thursday,January,1995
40.0,444422,2011-09-28,IL,250/500,2000.0,782.23,0,449221,Male,College,Protective-Serv,Golf,Other-Relative,64200.0,-32300,2015-02-06,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,OH,Springfield,6605 Tree Ave,0,3,Unknown,0,2,No,51570.0,5730.0,11460.0,34380.0,BMW,X5,2010,N,Adult,4,14,500/1000,1500,782.23,[],50787.77,Friday,February,2011
31.0,689500,2003-01-28,IL,250/500,2000.0,1366.9,0,459322,Female,High School,Handlers-Cleaners,Polo,Husband,0.0,-15700,2015-01-28,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NC,Northbend,3102 Apache St,14,3,Unknown,1,0,No,52700.0,10540.0,10540.0,31620.0,BMW,X6,2014,Y,Adult,3,10,500/1000,1500,1366.9,[],51333.1,Wednesday,January,2003
34.0,806081,2011-02-01,IL,500/1000,1000.0,1275.81,0,472657,Male,High School,Sales,Dancing,Wife,0.0,-48300,2015-01-21,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,Columbus,7756 Pine Hwy,13,1,Yes,2,2,Unknown,101010.0,15540.0,15540.0,69930.0,Mercedes,ML350,1998,N,Adult,12,26,500/1000,1500,1275.81,[],99734.19,Wednesday,January,2011
37.0,384618,1993-02-09,IN,250/500,500.0,1090.65,0,608331,Male,High School,Exec-Managerial,Golf,Unmarried,0.0,-51800,2015-01-16,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NC,Columbus,7142 5th Lane,16,4,Unknown,1,2,Yes,53400.0,5340.0,5340.0,42720.0,Honda,Civic,2010,Y,Adult,13,14,500/1000,1500,1090.65,[],52309.35,Friday,January,1993
31.0,756459,2005-08-05,IN,250/500,500.0,1326.0,0,438546,Female,Associate,Prof-Specialty,Basketball,Wife,0.0,-54600,2015-02-17,Single Vehicle Collision,Side Collision,Total Loss,Fire,SC,Northbrook,2914 Oak Drive,13,1,Unknown,1,2,No,72120.0,12020.0,12020.0,48080.0,Mercedes,ML350,2009,N,Adult,10,15,500/1000,1500,1326.0,[],70794.0,Tuesday,February,2005
43.0,655787,2006-06-17,IL,250/500,2000.0,972.47,0,441981,Male,College,Protective-Serv,Reading,Wife,0.0,-58100,2015-02-01,Multi-vehicle Collision,Front Collision,Minor Damage,Police,PA,Hillsdale,6522 Apache Drive,15,3,Yes,2,2,Yes,77100.0,7710.0,15420.0,53970.0,Audi,A3,2010,N,Adult,19,14,500/1000,1500,972.47,[],76127.53,Sunday,February,2006
39.0,419954,1993-12-07,IL,100/300,500.0,806.31,0,602177,Female,College,Handlers-Cleaners,Dancing,Wife,0.0,0,2015-02-25,Parked Car,Unknown,Trivial Damage,Police,SC,Northbend,5279 Pine Ridge,3,1,Unknown,2,3,Unknown,3300.0,600.0,0.0,2700.0,Dodge,RAM,2003,N,Adult,20,21,500/1000,1500,806.31,[],2493.69,Wednesday,February,1993
35.0,275092,2012-03-14,IL,500/1000,500.0,1416.24,0,441659,Female,MD,Adm-Clerical,Golf,Not-In-Family,0.0,0,2015-02-26,Parked Car,Unknown,Minor Damage,None,WV,Northbend,8078 Britain Hwy,7,1,Yes,1,0,Unknown,5940.0,1080.0,540.0,4320.0,Nissan,Pathfinder,2003,N,Adult,16,21,500/1000,1500,1416.24,[],4523.76,Thursday,February,2012
27.0,515698,1997-08-05,IN,250/500,2000.0,1097.64,0,614812,Male,High School,Transport-Moving,Video-Games,Other-Relative,27100.0,0,2015-02-06,Multi-vehicle Collision,Rear Collision,Major Damage,Other,PA,Northbend,1133 Apache St,16,2,No,1,0,Unknown,63720.0,7080.0,21240.0,35400.0,Accura,TL,2006,N,Young Adult,9,18,250/500,1000,1317.1680000000001,['roadside assistance'],62622.36,Friday,February,1997
43.0,132871,2009-07-05,IL,100/300,500.0,947.75,0,458470,Female,Masters,Farming-Fishing,Base-Jumping,Not-In-Family,0.0,-39300,2015-02-03,Vehicle Theft,Unknown,Trivial Damage,Police,SC,Riverwood,2873 Flute Ave,15,1,No,1,3,No,7680.0,1280.0,640.0,5760.0,Audi,A5,2008,N,Adult,21,16,500/1000,1500,947.75,[],6732.25,Tuesday,February,2009
31.0,714929,1994-11-25,IL,100/300,2000.0,1018.73,5000000,469646,Male,Associate,Handlers-Cleaners,Yachting,Own-Child,20000.0,-82700,2015-01-27,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,Riverwood,8509 Apache St,21,3,Yes,1,2,Unknown,93730.0,14420.0,21630.0,57680.0,Honda,CRV,2001,N,Adult,8,23,500/1000,1500,1018.73,[],92711.27,Tuesday,January,1994
44.0,297816,1997-02-03,IL,100/300,2000.0,1400.74,0,611118,Male,College,Sales,Base-Jumping,Other-Relative,34000.0,-55600,2015-01-21,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NC,Arlington,8245 4th Hwy,23,3,Yes,0,2,Unknown,87300.0,17460.0,17460.0,52380.0,Jeep,Wrangler,2013,N,Adult,4,11,500/1000,1500,1400.74,[],85899.26,Wednesday,January,1997
40.0,426708,2009-10-09,IL,250/500,500.0,1155.53,5000000,465158,Male,JD,Transport-Moving,Camping,Wife,0.0,-35200,2015-01-24,Parked Car,Unknown,Trivial Damage,Police,NY,Columbus,3094 Best Lane,5,1,Unknown,0,2,No,5670.0,1260.0,630.0,3780.0,Ford,F150,1997,N,Adult,22,27,500/1000,1500,1155.53,[],4514.47,Saturday,January,2009
47.0,615047,2002-11-20,IN,250/500,500.0,1386.93,0,457130,Male,High School,Priv-House-Serv,Bungie-Jumping,Husband,54100.0,-77600,2015-01-17,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,Springfield,8188 Tree Ave,15,3,Yes,0,0,No,65800.0,13160.0,6580.0,46060.0,Accura,TL,2001,N,Adult,23,23,500/1000,1500,1386.93,[],64413.07,Saturday,January,2002
34.0,771236,1995-05-29,OH,100/300,500.0,915.29,0,607893,Female,JD,Handlers-Cleaners,Base-Jumping,Wife,82400.0,-57100,2015-02-23,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Arlington,5224 5th Lane,14,1,Unknown,2,1,Yes,36720.0,4080.0,4080.0,28560.0,Honda,Accord,2009,Y,Adult,14,15,500/1000,1500,915.29,[],35804.71,Monday,February,1995
29.0,235869,2011-01-22,IL,250/500,500.0,1239.55,2000000,464736,Female,PhD,Farming-Fishing,Kayaking,Own-Child,0.0,0,2015-01-09,Single Vehicle Collision,Side Collision,Major Damage,Fire,SC,Riverwood,2230 1st St,1,1,Unknown,1,1,Yes,52800.0,4800.0,9600.0,38400.0,Mercedes,ML350,1996,Y,Young Adult,9,28,250/500,1000,1487.4599999999998,['roadside assistance'],51560.45,Friday,January,2011
37.0,931625,2012-10-18,IN,250/500,500.0,1366.42,0,476198,Female,Associate,Protective-Serv,Cross-Fit,Unmarried,44000.0,0,2015-02-15,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Arlington,6719 Flute St,14,3,No,1,2,Yes,59100.0,5910.0,5910.0,47280.0,Nissan,Maxima,1998,Y,Adult,12,26,500/1000,1500,1366.42,[],57733.58,Sunday,February,2012
37.0,371635,1991-10-13,OH,500/1000,1000.0,1086.48,6000000,444903,Male,Associate,Machine-Op-Inspct,Hiking,Unmarried,0.0,-53800,2015-01-16,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Northbrook,8064 4th Ave,17,3,Unknown,1,1,Yes,77440.0,14080.0,7040.0,56320.0,Suburu,Legacy,1999,N,Adult,13,25,500/1000,1500,1086.48,[],76353.52,Friday,January,1991
36.0,427199,2010-10-01,IL,250/500,2000.0,1247.87,0,464336,Male,Masters,Armed-Forces,Golf,Husband,0.0,-39700,2015-01-14,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Northbend,2469 Francis Lane,20,3,No,2,2,No,45700.0,4570.0,4570.0,36560.0,BMW,3 Series,2008,N,Adult,13,16,500/1000,1500,1247.87,[],44452.13,Wednesday,January,2010
41.0,261315,2013-04-10,OH,100/300,2000.0,1312.75,0,471453,Female,PhD,Sales,Dancing,Other-Relative,81300.0,0,2015-01-01,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,Springfield,4671 5th Ridge,10,3,No,2,2,Yes,80740.0,7340.0,14680.0,58720.0,Toyota,Camry,2014,Y,Adult,21,10,500/1000,1500,1312.75,[],79427.25,Thursday,January,2013
26.0,582973,2008-06-11,IN,100/300,2000.0,765.64,0,466191,Male,MD,Sales,Base-Jumping,Not-In-Family,0.0,-22200,2015-02-16,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Northbrook,6985 Maple Lane,3,3,Unknown,0,3,Unknown,31350.0,2850.0,5700.0,22800.0,Honda,Accord,2001,Y,Young Adult,0,23,250/500,1000,918.7679999999999,['roadside assistance'],30584.36,Monday,February,2008
33.0,278091,2013-12-04,OH,100/300,2000.0,1327.41,0,440930,Female,Associate,Handlers-Cleaners,Skydiving,Other-Relative,0.0,-38600,2015-01-04,Single Vehicle Collision,Side Collision,Total Loss,Other,SC,Hillsdale,7791 Britain Ridge,0,1,Unknown,0,0,Unknown,35000.0,3500.0,7000.0,24500.0,Suburu,Legacy,2012,N,Adult,13,12,500/1000,1500,1327.41,[],33672.59,Sunday,January,2013
59.0,153154,2010-08-21,OH,500/1000,1000.0,1338.55,0,430380,Male,PhD,Protective-Serv,Board-Games,Own-Child,39000.0,0,2015-01-12,Multi-vehicle Collision,Side Collision,Total Loss,Police,WV,Hillsdale,6355 4th Hwy,10,3,Unknown,2,2,No,68000.0,13600.0,6800.0,47600.0,Toyota,Corolla,2014,N,Senior,36,10,750/1500,2000,1070.84,['rental car coverage'],66661.45,Monday,January,2010
30.0,515217,2010-06-18,IL,250/500,2000.0,1316.63,8000000,613178,Female,Masters,Machine-Op-Inspct,Golf,Unmarried,43900.0,0,2015-01-08,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,3495 Britain Drive,13,3,Yes,2,0,Unknown,84500.0,13000.0,13000.0,58500.0,BMW,X6,2009,N,Adult,7,15,500/1000,1500,1316.63,[],83183.37,Thursday,January,2010
42.0,860497,1992-04-10,IL,500/1000,1000.0,1286.44,0,460564,Female,MD,Transport-Moving,Bungie-Jumping,Wife,0.0,-39500,2015-01-22,Single Vehicle Collision,Rear Collision,Minor Damage,Police,WV,Northbend,2980 Sky Ridge,14,1,No,2,1,Unknown,75500.0,7550.0,15100.0,52850.0,Nissan,Ultima,1998,N,Adult,21,26,500/1000,1500,1286.44,[],74213.56,Thursday,January,1992
46.0,351741,1997-02-03,OH,500/1000,1000.0,1372.18,0,439929,Male,High School,Exec-Managerial,Bungie-Jumping,Not-In-Family,0.0,0,2015-01-13,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Riverwood,5914 Oak Ave,22,3,No,1,3,Unknown,90600.0,15100.0,15100.0,60400.0,BMW,X5,2009,N,Adult,22,15,500/1000,1500,1372.18,[],89227.82,Tuesday,January,1997
45.0,403737,1991-12-06,IN,500/1000,2000.0,1447.77,0,605756,Female,Associate,Adm-Clerical,Camping,Wife,39400.0,-63900,2015-01-18,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,VA,Northbend,3835 5th Ave,8,3,Yes,1,1,Unknown,64320.0,5360.0,10720.0,48240.0,Accura,MDX,1998,N,Adult,22,26,500/1000,1500,1447.77,[],62872.23,Sunday,January,1991
33.0,162004,1995-09-19,IL,250/500,500.0,903.32,0,451184,Female,High School,Transport-Moving,Yachting,Not-In-Family,0.0,0,2015-01-19,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Northbend,5925 Tree Hwy,1,3,Unknown,1,0,Unknown,31700.0,6340.0,3170.0,22190.0,Toyota,Highlander,2006,N,Adult,0,18,500/1000,1500,903.32,[],30796.68,Monday,January,1995
30.0,740384,1993-10-29,IN,500/1000,1000.0,1454.42,0,459588,Male,Associate,Protective-Serv,Reading,Other-Relative,51600.0,-73900,2015-01-31,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Springfield,6250 1st Ridge,19,1,Yes,0,1,Yes,74280.0,12380.0,12380.0,49520.0,Suburu,Forrestor,2006,Y,Adult,7,18,500/1000,1500,1454.42,[],72825.58,Saturday,January,1993
37.0,876714,1991-11-03,IL,100/300,2000.0,1603.42,0,616637,Female,High School,Sales,Video-Games,Wife,61600.0,-30200,2015-02-06,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Columbus,1346 5th Lane,17,1,Yes,0,2,Yes,80520.0,13420.0,6710.0,60390.0,Toyota,Corolla,2005,N,Adult,19,19,500/1000,1500,1603.42,[],78916.58,Friday,February,1991
30.0,951543,2002-07-09,IN,250/500,2000.0,1616.58,0,447979,Male,JD,Adm-Clerical,Polo,Husband,58500.0,-46800,2015-02-04,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,Hillsdale,1128 Maple Lane,13,3,Yes,0,3,Yes,63600.0,6360.0,12720.0,44520.0,Dodge,RAM,2010,N,Adult,11,14,500/1000,1500,1616.58,[],61983.42,Wednesday,February,2002
44.0,576723,1999-12-07,IL,250/500,500.0,1611.83,0,460176,Male,High School,Handlers-Cleaners,Movies,Husband,0.0,0,2015-01-02,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Riverwood,6309 Cherokee Ave,4,1,Unknown,1,2,Yes,32800.0,3280.0,3280.0,26240.0,BMW,3 Series,2012,N,Adult,22,12,500/1000,1500,1611.83,[],31188.17,Friday,January,1999
50.0,391003,2005-07-01,OH,500/1000,500.0,889.13,0,459429,Female,Masters,Priv-House-Serv,Board-Games,Other-Relative,0.0,0,2015-02-26,Multi-vehicle Collision,Rear Collision,Total Loss,Police,PA,Northbend,4618 Flute Ave,14,3,No,0,2,No,44190.0,9820.0,4910.0,29460.0,Audi,A3,2015,N,Senior,29,9,750/1500,2000,711.3040000000001,['rental car coverage'],43300.87,Thursday,February,2005
26.0,225865,1991-11-04,IL,250/500,1000.0,1252.08,0,465456,Male,College,Exec-Managerial,Sleeping,Not-In-Family,0.0,0,2015-02-08,Multi-vehicle Collision,Rear Collision,Major Damage,Other,VA,Springfield,6191 Oak Lane,4,2,Yes,2,2,No,50400.0,10080.0,5040.0,35280.0,Honda,CRV,2000,Y,Young Adult,8,24,250/500,1000,1502.4959999999999,['roadside assistance'],49147.92,Sunday,February,1991
55.0,984948,1993-04-14,IL,500/1000,2000.0,995.56,0,464665,Male,JD,Tech-Support,Sleeping,Not-In-Family,0.0,-65400,2015-02-07,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,Northbend,1316 Britain Ridge,23,3,Yes,1,1,Yes,88400.0,17680.0,8840.0,61880.0,Nissan,Pathfinder,2010,N,Senior,33,14,750/1500,2000,796.448,['rental car coverage'],87404.44,Saturday,February,1993
49.0,890328,2009-08-23,IL,100/300,2000.0,1347.92,0,430853,Female,High School,Farming-Fishing,Bungie-Jumping,Own-Child,0.0,-42100,2015-02-17,Multi-vehicle Collision,Front Collision,Total Loss,Fire,NY,Hillsdale,5924 Maple Drive,21,3,Yes,0,2,Unknown,66550.0,12100.0,6050.0,48400.0,Volkswagen,Jetta,2003,N,Adult,25,21,500/1000,1500,1347.92,[],65202.08,Tuesday,February,2009
47.0,803294,1993-06-18,IN,100/300,1000.0,1724.09,0,615712,Male,PhD,Craft-Repair,Yachting,Own-Child,0.0,0,2015-01-12,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Arlington,8917 Tree Ridge,23,3,Yes,0,0,Unknown,65780.0,5980.0,11960.0,47840.0,Chevrolet,Tahoe,2014,N,Adult,23,10,500/1000,1500,1724.09,[],64055.91,Monday,January,1993
40.0,414913,2012-07-17,IN,250/500,500.0,1379.93,0,608228,Male,MD,Armed-Forces,Base-Jumping,Husband,0.0,0,2015-02-01,Multi-vehicle Collision,Side Collision,Major Damage,Other,NY,Columbus,3966 Francis Ridge,6,3,Unknown,0,2,Yes,51810.0,9420.0,4710.0,37680.0,Audi,A3,2002,Y,Adult,21,22,500/1000,1500,1379.93,[],50430.07,Sunday,February,2012
31.0,414519,1999-01-25,IN,250/500,1000.0,1554.64,4000000,457535,Male,PhD,Protective-Serv,Board-Games,Own-Child,0.0,-27900,2015-02-03,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,1507 Solo Ave,21,1,No,1,0,No,55660.0,5060.0,10120.0,40480.0,Honda,CRV,2009,Y,Adult,6,15,500/1000,1500,1554.64,[],54105.36,Tuesday,February,1999
28.0,818413,1990-02-23,OH,500/1000,1000.0,1377.94,0,442540,Male,Masters,Machine-Op-Inspct,Base-Jumping,Not-In-Family,0.0,0,2015-02-21,Single Vehicle Collision,Side Collision,Major Damage,Fire,NY,Springfield,4272 Oak Ridge,23,1,Unknown,2,3,Unknown,44640.0,9920.0,4960.0,29760.0,Toyota,Camry,2005,N,Young Adult,10,19,250/500,1000,1653.528,['roadside assistance'],43262.06,Saturday,February,1990
46.0,487356,2000-08-30,IL,500/1000,2000.0,1313.33,0,455332,Female,PhD,Transport-Moving,Reading,Husband,53500.0,-73600,2015-01-09,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Riverwood,4434 Lincoln Ave,3,3,Unknown,1,3,No,77660.0,7060.0,14120.0,56480.0,Nissan,Maxima,2004,Y,Adult,23,20,500/1000,1500,1313.33,[],76346.67,Friday,January,2000
25.0,159768,2008-09-03,IN,250/500,500.0,1259.02,0,439534,Female,JD,Tech-Support,Base-Jumping,Unmarried,67000.0,-53600,2015-02-16,Parked Car,Unknown,Trivial Damage,None,SC,Northbend,7529 Solo Ridge,8,1,No,2,2,Unknown,5640.0,940.0,940.0,3760.0,Nissan,Ultima,2005,N,Young Adult,7,19,250/500,1000,1510.8239999999998,['roadside assistance'],4380.98,Monday,February,2008
26.0,865839,1991-08-02,IL,500/1000,1000.0,1371.88,0,462420,Female,MD,Prof-Specialty,Reading,Husband,0.0,0,2015-02-04,Parked Car,Unknown,Trivial Damage,None,VA,Arlington,8096 Apache Hwy,4,1,Unknown,2,2,Unknown,3190.0,580.0,580.0,2030.0,Suburu,Legacy,1995,N,Young Adult,8,29,250/500,1000,1646.256,['roadside assistance'],1818.12,Wednesday,February,1991
30.0,406567,2001-09-25,OH,100/300,500.0,1399.27,6000000,448913,Male,College,Prof-Specialty,Hiking,Wife,38900.0,-48700,2015-02-24,Single Vehicle Collision,Side Collision,Total Loss,Fire,NC,Arlington,9417 Tree Hwy,22,1,Unknown,0,0,Yes,53440.0,0.0,6680.0,46760.0,Ford,Escape,2004,N,Adult,8,20,500/1000,1500,1399.27,[],52040.73,Tuesday,February,2001
31.0,623032,2007-03-11,IL,500/1000,1000.0,1061.98,6000000,440837,Female,JD,Armed-Forces,Camping,Unmarried,0.0,0,2015-02-01,Single Vehicle Collision,Rear Collision,Minor Damage,Police,WV,Hillsdale,3809 Texas Lane,16,1,No,0,1,Yes,65250.0,7250.0,7250.0,50750.0,BMW,3 Series,2002,N,Adult,10,22,500/1000,1500,1061.98,[],64188.02,Sunday,February,2007
